ERRORED_ANGLE,SYNCRO_INDX,SYNCRO_SIGMA,DUST_INDX,DUST_SIGMA,DUST_T_INDX,DUST_T_SIGMA
altitude_offset,-2.850582469574444,0.09761545294111851,2.0559165775057555,0.47357390146089645,9.361863420272364,4.325014766237413
ground_offset,-2.8506761234918074,0.09761450855740748,2.058274424712973,0.47317020230892015,9.340361782745017,4.299793700449744
fork,-2.851088585590327,0.09764202559518763,2.058274771551847,0.4731465513295536,9.34040804814038,4.299642878888279
zVAX&ω_0,-2.850788285770187,0.09762190998679428,2.0583162569212154,0.47315673761003124,9.339994538329904,4.299308829362081
zVAX&ω_90,-2.850789069384905,0.09762195654709997,2.0583101661561147,0.4731577156078654,9.340049907769668,4.299373123858491
zVAX&ω_180,-2.850783269833191,0.09762161166072457,2.0583194560200018,0.4731564984669704,9.339965422895459,4.299277361272456
zVAX&ω_270,-2.8507780092764814,0.0976212946977373,2.0582823262130847,0.47316305870161823,9.340302864397902,4.299674306581632
