ERRORED_ANGLE,SYNCRO_INDX,SYNCRO_SIGMA,DUST_INDX,DUST_SIGMA,DUST_T_INDX,DUST_T_SIGMA
altitude_offset,-2.9986821720088543,0.0015480729106463935,1.549786612786876,0.01003795851101982,19.622370266746064,0.39772960509246413
ground_offset,-2.9986727228445904,0.00154806197364242,1.5498845725842427,0.010037538809338014,19.618615126831696,0.39754946538496655
fork,-2.998674749508201,0.0015480628443371946,1.549897893508108,0.010037477293063712,19.61810618628571,0.39752488734125313
zVAX&ω_0,-2.998673053065231,0.0015480620234425884,1.5498889217187426,0.010037519111695262,19.61844836691577,0.3975414280413279
zVAX&ω_90,-2.998673049976792,0.0015480620322161748,1.5498886104067648,0.010037520587098777,19.618460996713207,0.397542036993144
zVAX&ω_180,-2.998673061857947,0.0015480620246053625,1.5498890393423022,0.0100375185802285,19.61844386537058,0.39754121110070545
zVAX&ω_270,-2.9986730613244004,0.0015480620283781427,1.5498889432284746,0.010037519005399356,19.618447545883345,0.3975413881348217
